CommandId	Path	Id	CanHaveBinding
ID_SETTINGS_SPOT_COORDINATE	Annotate-Dimension-Spot Coordinate Types	33351	True
ID_SETTINGS_SPOT_SLOPE	Annotate-Dimension-Spot Slope Types	33348	True
ID_OBJECTS_TEXT_NOTE	Annotate-Text-Text	33134	True
ID_CHECK_SPELLING	Annotate-Text-Spelling	40986	True
ID_FIND_REPLACE	Annotate-Text-Find/ Replace	61591	True
ID_OBJECTS_DETAIL_CURVES	Annotate-Detail-Detail Line	33425	True
ID_OBJECTS_FILLED_REGION	Annotate-Detail-Region-Region	33204	True
ID_MASKING_REGION	Annotate-Detail-Region-Masking Region	35287	True
ID_OBJECTS_FAMDETAIL	Annotate-Detail-Component-Detail Component	33424	True
ID_OBJECTS_REPEATING_DETAIL	Annotate-Detail-Component-Repeating Detail	42058	True
ID_OBJECTS_LEGEND_COMPONENT	Annotate-Detail-Component-Legend Component	33751	True
ID_OBJECTS_CLOUD	Annotate-Detail-Revision Cloud	33540	True
ID_OBJECTS_PLACE_DETAIL_GROUP	Annotate-Detail-Detail Group-Place Detail Group	33421	True
ID_EDIT_GROUP	Annotate-Detail-Detail Group-Create Group	33305	True
ID_OBJECTS_INSULATION	Annotate-Detail-Insulation	33432	True
ID_OBJECTS_ROOM_TAG	Annotate-Tag-Tag Room	33208	True
ID_OBJECTS_AREA_TAG	Annotate-Tag-Tag Area	33718	True
ID_BUTTON_TAG	Annotate-Tag-Tag by Category	33329	True
ID_BUTTON_TAG_ALL	Annotate-Tag-Tag All	33735	True
ID_TAG_MULTI	Annotate-Tag-Multi_Category	35203	True
ID_TAG_MATERIAL	Annotate-Tag-Material	35145	True
ID_NEW_REFERENCE_VIEWER	Annotate-Tag-View Reference	33906	True
ID_KEYNOTE_ELEMENT	Annotate-Tag-Keynote-Element	35158	True
ID_KEYNOTE_MATERIAL	Annotate-Tag-Keynote-Material	35159	True
ID_KEYNOTE_USER	Annotate-Tag-Keynote-User	35160	True
ID_SETTINGS_TAGS	Annotate-Tag-Loaded Tags	33338	True
ID_SETTINGS_KEYNOTING	Annotate-Tag-Keynoting Settings	3450	True
ID_CREATE_OPENING_BY_FACE_TB	Modify-Opening-Openings-Opening on Face	35253	True
ID_CREATE_WALL_OPENING_TB	Modify-Opening-Openings-Wall Opening	35256	True
ID_CREATE_VERTICAL_OPENING_TB	Modify-Opening-Openings-Vertical Opening	35254	True
ID_CREATE_SHAFT_OPENING_TB	Modify-Opening-Openings-Shaft Opening	35257	True
ID_CREATE_DORMER_OPENING_TB	Modify-Opening-Openings-Dormer Opening	35255	True
ID_BUTTON_SELECT	Modify-Selection-Modify	32776	True
ID_EDIT_PASTE_ALIGNED_LEVEL_BY_NAME	Modify-Clipboard-Paste Aligned-Select Levels by Name	33328	True
ID_EDIT_PASTE_ALIGNED_VIEWS_BY_NAME	Modify-Clipboard-Paste Aligned-Select Views	33332	True
ID_EDIT_PASTE_ALIGNED	Modify-Clipboard-Paste Aligned-Current View	33320	True
ID_EDIT_PASTE_ALIGNED_SAME_PLACE	Modify-Clipboard-Paste Aligned-Same Place	33341	True
ID_EDIT_PASTE_ALIGNED_PICK_LEVEL	Modify-Clipboard-Paste Aligned-Pick Level	33321	True
ID_EDIT_PASTE	Modify-Clipboard-Paste	57637	True
ID_EDIT_MATCH_TYPE	Modify-Clipboard-Match Type	33513	True
ID_ALIGN	Modify-Edit-Align	33218	True
ID_TRIM_EXTEND_CORNER	Modify-Edit-Trim	48952	True
ID_TRIM_EXTEND_SINGLE	Modify-Edit-Extend-Trim/Extend Single Element	48953	True
ID_TRIM_EXTEND_MULTIPLE	Modify-Edit-Extend-Trim/Extend Multiple Elements	48954	True
ID_SPLIT	Modify-Edit-Split-Split Elements	1100	True
ID_SPLIT_WITH_GAP	Modify-Edit-Split-Split with Gap	33829	True
ID_OFFSET	Modify-Edit-Offset	33757	True
ID_MEASURE_LINE	Modify-Inquiry-Measure-Measure Between Two References	48962	True
ID_MEASURE_PICK_LINES	Modify-Inquiry-Measure-Measure Along An Element	48963	True
ID_IDS_OF_SELECTION	Modify-Inquiry-Element ID-IDs of Selection	33866	True
ID_SELECT_BY_ID	Modify-Inquiry-Element ID-Select by ID	33867	True
ID_REVIEW_WARNINGS	Modify-Inquiry-Warnings	33352	True
ID_REPORT_SHARED_COORDINATES	Modify-Inquiry-Report Coordinates	33865	True
ID_HIDE_ELEMENTS_EDITOR	Modify-Edit Linework-Show Hidden-Show Hidden Lines	33671	True
ID_UNHIDE_ELEMENTS_EDITOR	Modify-Edit Linework-Show Hidden-Remove Hidden Lines	33673	True
ID_EDIT_CUT_BOUNDARY	Modify-Edit Linework-Cut Profile	33709	True
ID_EDIT_LINEWORK	Modify-Edit Linework-Linework	33520	True
ID_SPLIT_FACE	Modify-Edit Face-Split Face	33689	True
ID_EDIT_PAINT	Modify-Edit Face-Paint	33656	True
ID_EDIT_DEMOLISH	Modify-Phasing-Demolish	33534	True
ID_JOIN_ROOF	Modify-Edit Geometry-Join/Unjoin Roof	33277	True
ID_EDIT_WALL_JOINS	Modify-Edit Geometry-Wall Joins	33323	True
ID_EDIT_BEAM_JOINS	Modify-Edit Geometry-Beam/Column Joins	49543	True
ID_CUT_HOST	Modify-Edit Geometry-Cut-Cut Geometry	33407	True
ID_UNCUT_HOST	Modify-Edit Geometry-Cut-Uncut Geometry	33408	True
ID_JOIN_ELEMENTS_EDITOR	Modify-Edit Geometry-Join-Join Geometry	33729	True
ID_UNJOIN_ELEMENTS_EDITOR	Modify-Edit Geometry-Join-Unjoin Geometry	33730	True
ID_COPING	Modify-Edit Geometry-Coping-Apply Coping	46450	True
ID_UNCOPING	Modify-Edit Geometry-Coping-Remove Coping	46451	True
ID_CREATE_OPENING_BY_FACE_TB	Modify-Opening-Openings-Opening on Face	35253	True
ID_CREATE_WALL_OPENING_TB	Modify-Opening-Openings-Wall Opening	35256	True
ID_CREATE_VERTICAL_OPENING_TB	Modify-Opening-Openings-Vertical Opening	35254	True
ID_CREATE_SHAFT_OPENING_TB	Modify-Opening-Openings-Shaft Opening	35257	True
ID_CREATE_DORMER_OPENING_TB	Modify-Opening-Openings-Dormer Opening	35255	True
ID_INPLACE_MASS	Massing & Site-Conceptual Mass-In_Place Mass	42645	True
ID_SHOW_MASS	Massing & Site-Conceptual Mass-Show Mass	35077	True
ID_OBJECTS_MASS	Massing & Site-Conceptual Mass-Place Mass	42644	True
ID_ROOF_PICK_FACES	Massing & Site-Conceptual Mass-Model by Face-Roof	20	True
ID_CURTA_SYSTEM_PICK_FACES	Massing & Site-Conceptual Mass-Model by Face-Curtain System	35072	True
ID_WALL_PICK_FACES	Massing & Site-Conceptual Mass-Model by Face-Wall	35074	True
ID_FLOOR_PICK_FACES	Massing & Site-Conceptual Mass-Model by Face-Floor	3234	True
ID_SITE_TOPO_SURFACE	Massing & Site-Model Site-Toposurface	33641	True
ID_SITE_COMPONENT	Massing & Site-Model Site-Site Component	40239	True
ID_SITE_PARKING_COMPONENT	Massing & Site-Model Site-Parking Component	33698	True
ID_SITE_BUILDINGPAD	Massing & Site-Model Site-Building Pad	33481	True
ID_SPLIT_SURFACE	Massing & Site-Modify Site-Split Surface	1992	True
ID_MERGE_SURFACE	Massing & Site-Modify Site-Merge Surfaces	33742	True
ID_SITE_AREA	Massing & Site-Modify Site-Subregion	34964	True
ID_SITE_PROPERTYLINE	Massing & Site-Modify Site-Property Line	33480	True
ID_SITE_GRADE	Massing & Site-Modify Site-Graded Region	33640	True
ID_SITE_LABEL_CONTOURS	Massing & Site-Modify Site-Label Contours	33820	True
ID_OBJECTS_LEVEL	Structure-Datum-Level	32794	True
ID_OBJECTS_GRID	Structure-Datum-Grid	32770	True
ID_OBJECTS_BEAM	Structure-Structure-Beam	34972	True
ID_OBJECTS_STRUCTURAL_WALL	Structure-Structure-Wall-Structural Wall	34975	True
ID_OBJECTS_WALL	Structure-Structure-Wall-Partition Wall	32771	True
ID_OBJECTS_CORNICE	Structure-Structure-Wall-Wall Sweep	33655	True
ID_OBJECTS_REVEAL	Structure-Structure-Wall-Reveal	33654	True
ID_OBJECTS_STRUCTURAL_COLUMN	Structure-Structure-Column-Structural Column	34974	True
ID_OBJECTS_COLUMN	Structure-Structure-Column-Architectural Column	32918	True
ID_OBJECTS_SLAB	Structure-Structure-Floor-Structural Floor	34985	True
ID_OBJECTS_FLOOR	Structure-Structure-Floor-Architectural Floor	32914	True
ID_CREATE_SLAB_EDGE_TB	Structure-Structure-Floor-Slab Edge	40603	True
ID_OBJECTS_TRUSS	Structure-Structure-Truss	43213	True
ID_OBJECTS_BRACE	Structure-Structure-Brace	34973	True
ID_OBJECTS_JOIST_SYSTEM	Structure-Structure-Beam System	42398	True
ID_OBJECTS_ISOLATED_FOOTING	Structure-Foundation-Isolated	35114	True
ID_OBJECTS_CONTINUOUS_FOOTING	Structure-Foundation-Wall	35113	True
ID_OBJECTS_FOOTING_SLAB	Structure-Foundation-Slab-Foundation Slab	35156	True
ID_CREATE_SLAB_EDGE_TB	Structure-Foundation-Slab-Slab Edge	40603	True
ID_SETTINGS_PARTITIONS	Collaborate-Worksets-Worksets	33460	True
ID_GRAY_INACTIVE_WORKSET_GRAPHICS	Collaborate-Worksets-Gray Inactive Worksets	2765	True
ID_FILE_SAVE_TO_MASTER	Collaborate-Synchronize-Synchronize with Central-Synchronize and Modify Settings	33542	True
ID_FILE_SAVE_TO_MASTER_SHORTCUT	Collaborate-Synchronize-Synchronize with Central-Synchronize Now	42654	True
ID_WORKSETS_RELOAD_LATEST	Collaborate-Synchronize-Reload Latest	1729	True
ID_RELINQUISH_ALL_MINE	Collaborate-Synchronize-Relinquish All Mine	3363	True
ID_PARTITIONS_SHOW_HISTORY	Collaborate-Synchronize-Show History	1985	True
ID_FILE_BACKUPS	Collaborate-Synchronize-Restore Backup	33690	True
ID_WORKSET_EDITING_REQUESTS	Collaborate-Synchronize-Editing Requests	33911	True
ID_COPY_WATCH_CURRENT	Collaborate-Coordinate-Copy/ Monitor-Use Current Project	35107	True
ID_COPY_WATCH_LINK	Collaborate-Coordinate-Copy/ Monitor-Select Link	35108	True
ID_RECONCILE_CURRENT	Collaborate-Coordinate-Coordination Review-Use Current Project	35110	True
ID_RECONCILE_LINK	Collaborate-Coordinate-Coordination Review-Select Link	35111	True
ID_INTERFERENCE_CHECK	Collaborate-Coordinate-Interference Check-Run Interference Check	3259	True
ID_INTERFERENCE_REPORT	Collaborate-Coordinate-Interference Check-Show Last Report	46061	True
ID_VIEW_PROPERTIES	View-Graphics-View Properties	33090	True
ID_APPLY_VIEW_TEMPLATE	View-Graphics-View Templates-Apply new template to current view	33651	True
ID_CREATE_VIEW_TEMPLATE	View-Graphics-View Templates-Create template from current view	33684	True
ID_SETTINGS_VIEWTEMPLATES	View-Graphics-View Templates-View template settings 	33683	True
ID_VIEW_CATEGORY_VISIBILITY	View-Graphics-Visibility/Graphics	33175	True
ID_SETTINGS_FILTERS	View-Graphics-Filters	33099	True
ID_THIN_LINES	View-Graphics-Thin Lines	33834	True
ID_VIEW_DEFAULT_3DVIEW	View-Create-3D View-Default 3D	33169	True
ID_VIEW_NEW_3DVIEW	View-Create-3D View-Camera	32956	True
ID_VIEW_NEW_WALKTHROUGH	View-Create-3D View-Walkthrough	33000	True
ID_VIEW_NEW_SECTION	View-Create-Section	32955	True
ID_VIEW_NEW_CALLOUT	View-Create-Callout	33298	True
ID_VIEW_NEW_DRAFTING	View-Create-Drafting View	33530	True
ID_BUTTON_INTERIOR_ROOM_ELEVATION	View-Create-Elevation-Elevation	33255	True
ID_BUTTON_BRACING_ELEVATION	View-Create-Elevation-Framing Elevation	32814	True
ID_VIEW_NEW_PLAN	View-Create-Plan Views-Floor Plan	32953	True
ID_VIEW_NEW_RCP	View-Create-Plan Views-Reflected Ceiling Plan	33380	True
ID_NEW_PLAN_REGION	View-Create-Plan Views-Plan Region	33900	True
ID_VIEW_NEW_AREASCHEME	View-Create-Plan Views-Area Plan	33638	True
ID_PRJBROWSER_COPY	View-Create-Duplicate View-Duplicate View	33245	True
ID_DUPLICATE_WITH_DETAILING	View-Create-Duplicate View-Duplicate with Detailing	33858	True
ID_CREATE_DEPENDENT_VIEW	View-Create-Duplicate View-Duplicate as Dependent	35280	True
ID_VIEW_NEW_LEGEND	View-Create-Legends-Legend	33531	True
ID_VIEW_NEW_KEYNOTE_LEGEND	View-Create-Legends-Keynote Legend	3449	True
