219 categories and their parents:
  Curtain System Tags (-2005025), parent <none>
  Structural Load Cases (-2005210), parent <none>
  Parking (-2001180), parent <none>
  Masking Region (-2000194), parent <none>
  Viewports (-2000510), parent <none>
  Floors (-2000032), parent <none>
  Duct Accessories (-2008016), parent <none>
  Structural Stiffener Tags (-2001355), parent <none>
  Levels (-2000240), parent <none>
  Electrical Fixtures (-2001060), parent <none>
  Callouts (-2000537), parent <none>
  Area Load Tags (-2005252), parent <none>
  Site (-2001260), parent <none>
  Cable Tray Fitting Tags (-2008127), parent <none>
  Callout Heads (-2000538), parent <none>
  Section Line (-2000201), parent <none>
  Specialty Equipment (-2001350), parent <none>
  Curtain Panel Tags (-2005012), parent <none>
  Sections (-2000200), parent <none>
  Duct Accessory Tags (-2008017), parent <none>
  Pipe Color Fill (-2008059), parent <none>
  Plumbing Fixtures (-2001160), parent <none>
  Foundation Span Direction Symbol (-2005111), parent <none>
  Doors (-2000023), parent <none>
  Connection Symbols (-2006100), parent <none>
  Generic Models (-2000151), parent <none>
  Concrete Cover References (-2009015), parent <none>
  Structural Trusses (-2001336), parent <none>
  Rooms (-2000160), parent <none>
  Structural Path Reinforcement Tags (-2009011), parent <none>
  Point Load Tags (-2005250), parent <none>
  Spaces (-2003600), parent <none>
  Lines (-2000051), parent <none>
  View Reference (-2000197), parent <none>
  Generic Annotations (-2000150), parent <none>
  Materials (-2000700), parent <none>
  Line Load Tags (-2005251), parent <none>
  Pipe Accessory Tags (-2008056), parent <none>
  Boundary Conditions (-2005301), parent <none>
  Structural Loads (-2005200), parent <none>
  Duct Tags (-2008003), parent <none>
  Mass Tags (-2003405), parent <none>
  Site Tags (-2005016), parent <none>
  Plan Region (-2000191), parent <none>
  Rebar Shape (-2009013), parent <none>
  Structural Columns (-2001330), parent <none>
  Views (-2000279), parent <none>
  Lighting Fixtures (-2001120), parent <none>
  Structural Internal Loads (-2005204), parent <none>
  HVAC Zones (-2008107), parent <none>
  Mass (-2003400), parent <none>
  Roofs (-2000035), parent <none>
  Revision Cloud Tags (-2006080), parent <none>
